"state","candidate_name","pollster_rating_name","predicted_pct"
"Pennsylvania","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.4511121897748
"Wisconsin","Kamala Harris","Fabrizio, Lee & Associates/GBAO",46.1199971918539
"Wisconsin","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.2642689064068
"Wisconsin","Cornel West","Fabrizio, Lee & Associates/GBAO",0.25572146800146
"Wisconsin","Robert F. Kennedy","Fabrizio, Lee & Associates/GBAO",9.40173161799479
"Wisconsin","Chase Oliver","Fabrizio, Lee & Associates/GBAO",0.32465124628904
"Wisconsin","Jill Stein","Fabrizio, Lee & Associates/GBAO",0.172980078399339
"Wisconsin","Kamala Harris","Fabrizio, Lee & Associates/GBAO",46.1008720759376
"Wisconsin","Donald Trump","Fabrizio, Lee & Associates/GBAO",43.3546408083256
"Tennessee","Kamala Harris","Targoz Market Research",46.2985469326005
"Tennessee","Donald Trump","Targoz Market Research",43.818919207917
"Tennessee","Robert F. Kennedy","Targoz Market Research",9.73415470920311
"Tennessee","Chase Oliver","Targoz Market Research",0.771580638180805
"Tennessee","Jill Stein","Targoz Market Research",0.649084419981583
"Tennessee","Kamala Harris","Targoz Market Research",46.1868802365882
"Tennessee","Donald Trump","Targoz Market Research",43.6844610564015
"Tennessee","Robert F. Kennedy","Targoz Market Research",9.65366448492804
"Tennessee","Chase Oliver","Targoz Market Research",0.733065583610613
"Tennessee","Jill Stein","Targoz Market Research",0.651838948602115
"Arizona","Kamala Harris","ActiVote",50.956522292183
"Arizona","Donald Trump","ActiVote",48.4758304128358
"Arizona","Kamala Harris","SoCal Research",48.753819096182
"Arizona","Donald Trump","SoCal Research",46.1779935242112
"Michigan","Kamala Harris","Research Co.",48.3535840223637
"Michigan","Donald Trump","Research Co.",45.9519326428873
"Pennsylvania","Kamala Harris","Research Co.",48.5292221851978
"Pennsylvania","Donald Trump","Research Co.",45.8074184116926
"Wisconsin","Kamala Harris","Research Co.",48.4135155639128
"Wisconsin","Donald Trump","Research Co.",45.9433737998841
"Michigan","Kamala Harris","Quinnipiac University",47.3213070542629
"Michigan","Donald Trump","Quinnipiac University",44.5961261012974
"Michigan","Jill Stein","Quinnipiac University",1.58105993653503
"Michigan","Chase Oliver","Quinnipiac University",1.76695510739169
"Michigan","Cornel West","Quinnipiac University",1.63592450088077
"Michigan","Randall A. Terry","Quinnipiac University",4.56497286217149
"Michigan","Kamala Harris","Quinnipiac University",47.2532786411185
"Michigan","Donald Trump","Quinnipiac University",44.6925185043121
"Pennsylvania","Kamala Harris","Quinnipiac University",47.3942587652437
"Pennsylvania","Donald Trump","Quinnipiac University",44.9258178269032
"Pennsylvania","Jill Stein","Quinnipiac University",1.73484715112588
"Pennsylvania","Chase Oliver","Quinnipiac University",1.92963629859519
"Pennsylvania","Kamala Harris","Quinnipiac University",47.4604991890597
"Pennsylvania","Donald Trump","Quinnipiac University",44.9228066931103
"Wisconsin","Kamala Harris","Quinnipiac University",47.3378786700435
"Wisconsin","Donald Trump","Quinnipiac University",44.8264395105442
"Wisconsin","Jill Stein","Quinnipiac University",1.62464746830974
"Wisconsin","Chase Oliver","Quinnipiac University",1.84718739277864
"Wisconsin","Cornel West","Quinnipiac University",1.52012020078345
"Wisconsin","Randall A. Terry","Quinnipiac University",4.64924743393655
"Wisconsin","Claudia De La Cruz","Quinnipiac University",6.45434040276912
"Wisconsin","Kamala Harris","Quinnipiac University",47.3490758300996
"Wisconsin","Donald Trump","Quinnipiac University",45.0405153315068
"Florida","Kamala Harris","Marist College",49.6554371517683
"Florida","Donald Trump","Marist College",46.9123988687773
